Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,CAAQMS_Source_Name,Environmental_Risk_Score,Environmental_Anomaly,Environmental_Record_Count,Environmental_Available,Producing Mine,Production_ZScore,Production_Anomaly,Data_Sufficient,Operational_Available,Safety_Evidence_Available,Safety_Evidence_Note,Evidence_Coverage,Evidence_Status,Confidence_Score,Confidence_Category,Mine_Type,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction,Historical_Operational_Risk,Operational_Risk_Score,Safety_Risk_Score,Overall_Risk_Score,Risk_Category,Risk_Drivers,AI_Recommendation,Peer_Context_Explanation,Risk_Score_Type
Sendra Bansjora,BCCL,Jharkhand,DHANBAD,Jharia,Sijua,Opencast,PUBLIC,,,0,,0,Sendra Bansjora,-0.3239041133400074,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4504344134033002,0,11.260860335082503,Normal,Lower than peer average,8.097602833500185,8.097602833500185,,8.097602833500185,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Shampur B,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,,,0,,0,Shampur B,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4807213198532813,0,12.018032996332034,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Shanthi Khani,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.3568278485283757,0,8.920696213209393,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sharda Highwall,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Underground,PUBLIC,,,0,,0,Sharda Highwall,-0.1504554600545405,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,1.5197049732464143,0,37.99262433116036,Normal,Higher than peer average,3.7613865013635124,3.7613865013635124,,3.7613865013635124,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sharda UG,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Kanhan,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.5230264076227613,0,13.075660190569034,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Shivani,SECL,Chhattisgarh,SURGUJA,Central India,Bhatgaon,Underground,PUBLIC,,,0,,0,Shivani,-0.1504554600545405,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.0752884051170268,0,1.882210127925672,Normal,Higher than peer average,3.7613865013635124,3.7613865013635124,,3.7613865013635124,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Shyam Sundarpur Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Underground,PUBLIC,,,0,,0,Shyam Sundarpur Colliery,-0.1408194237609035,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,1.5469011010982228,0,38.67252752745557,Normal,Higher than peer average,3.5204855940225874,3.5204855940225874,,3.5204855940225874,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sial Ghogri Coal Mine,RCCPL,Madhya Pradesh,CHHINDWARA,Pench- Kanhan,Sial Ghogri,Underground,PRIVATE,,,0,,0,Sial Ghogri Coal Mine,-0.2179077141099998,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.3653804355363181,0,9.134510888407952,Normal,Higher than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Siarmal OCP,MCL,Odisha,SUNDARGARH,IB Valley,Mahalaxmi,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,0.3883948380360563,0,9.709870950901408,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Siduli Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Mixed,PUBLIC,,,0,,0,Siduli Colliery,-0.2082716778163627,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Mixed,-0.4613876949882943,0,11.534692374707358,Normal,Lower than peer average,5.206791945409067,5.206791945409067,,5.206791945409067,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sijua Colliery,TSL,Jharkhand,DHANBAD,Jharia,Sijua,Underground,PRIVATE,,,0,,0,"Sijua Colliery,",-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.1145717009029725,0,2.8642925225743125,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sikni OC Mine,JSMDCL,Jharkhand,LATEHAR,Auranga,Sikni,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4838966671488112,0,12.09741667872028,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Silewara Colliery,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Underground,PUBLIC,,,0,,0,Silewara Colliery,-0.1793635689354516,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4202854801825956,0,10.50713700456489,Normal,Lower than peer average,4.48408922338629,4.48408922338629,,4.48408922338629,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Singhali Colliery,SECL,Chhattisgarh,KORBA,Central India,Korba,Underground,PUBLIC,,,0,,0,Singhali Colliery,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.2359561691870043,0,5.898904229675109,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Singori OC,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,,,0,,0,Singori OC,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3747970926728809,0,9.369927316822023,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sirka,CCL,Jharkhand,RAMGARH,S.K.Coalfields,Argada,Opencast,PUBLIC,,,0,,0,Sirka,-0.0830032059990811,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5116766513903676,0,12.79191628475919,Normal,Lower than peer average,2.0750801499770275,2.0750801499770275,,2.0750801499770275,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sonepur Bazari Project OCM,ECL,West Bengal,Bardhaman,Raniganj,Sonepur-Bazari,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,1.0361735614868917,0,25.90433903717229,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
South Samla,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.5290699915898299,0,13.226749789745748,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Srirampur OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,Opencast,PUBLIC,,,0,,0,Srirampur OC,-0.1311833874672666,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1256611430883784,0,3.141528577209461,Normal,Lower than peer average,3.279584686681665,3.279584686681665,,3.279584686681665,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
"Srirampur-1, Incline",SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,Underground,PUBLIC,,,0,,0,"Srirampur-1, Incline",-0.3817203311018297,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.2843048409235529,0,7.107621023088822,Normal,Lower than peer average,9.543008277545741,9.543008277545741,,9.543008277545741,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Srirampur-3 & 3A Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,Underground,PUBLIC,,,0,,0,Srirampur-3 & 3A Incline,-0.3624482585145557,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.066223029166424,0,1.6555757291606,Normal,Higher than peer average,9.061206462863893,9.061206462863893,,9.061206462863893,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Suliyari,APMDCL,Madhya Pradesh,SINGRAULI,Singrauli,Suliyari,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,0.1050389987721822,0,2.625974969304555,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Tadicherla 1 OCM,TGGENCO,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Tadicherla 1,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.210642640336412,0,5.2660660084103,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Takli Jena Bellora,AIPL,Maharashtra,CHANDRAPUR,Wardha,Wardha,Opencast,PRIVATE,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.515591103715314,0,12.88977759288285,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Talabira II & III,NLCIL,Odisha,SAMBALPUR,IB Valley,Neyvelli Lignite Field,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,1.0698883605436895,0,26.74720901359224,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Talaipalli Coal Mine,NTPC,Chhattisgarh,RAIGARH,Mand-Raigarh,Talaipalli,Opencast,PUBLIC,,,0,,0,Talaipalli Coal Mine,4.75428701340672,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.4261503620734442,0,10.653759051836106,Normal,Higher than peer average,100.0,100.0,,100.0,CRITICAL,Operational indicator,Priority Inspection / Further Assessment Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Tandsi,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Kanhan,Underground,PUBLIC,,,0,,0,Tandsi,-0.2468158229909109,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5200046156392271,0,13.000115390980676,Normal,Lower than peer average,6.170395574772773,6.170395574772773,,6.170395574772773,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
